Category,SL.No.,NAME OF THE AIRLINE,PASSENGERS TO INDIA,PASSENGERS FROM INDIA,FREIGHT TO INDIA,FREIGHT FROM INDIA
DOMESTIC CARRIERS,1,AIR INDIA,743986,737127,13501.7,20448.0
DOMESTIC CARRIERS,2,AIR INDIA EXPRESS,470311,429415,403.1,2224.5
DOMESTIC CARRIERS,3,INDIGO,353714,334746,603.3,4777.6
DOMESTIC CARRIERS,4,JET AIRWAYS,1003643,982128,18248.3,28395.6
DOMESTIC CARRIERS,5,SPICEJET,232252,230010,318.3,1499.5
DOMESTIC CARRIERS,6,TOTAL (DOMESTIC CARRIERS),2803906,2713426,33074.7,57345.2
FOREIGN CARRIERS,1,AEROFLOT,30329,37473,86.3,1666.7
FOREIGN CARRIERS,2,AEROLOGIC,0,0,10.8,10.4
FOREIGN CARRIERS,3,AIR ARABIA,226174,215398,485.3,3459.3
FOREIGN CARRIERS,4,AIR ASIA BERHAD,102920,97337,255.8,921.1
FOREIGN CARRIERS,5,AIR ASIA X,15950,16228,452.4,770.3
FOREIGN CARRIERS,6,AIR ASTANA,9721,8845,7.5,170.8
FOREIGN CARRIERS,7,AIR AUSTRAL,949,1170,0.0,6.5
FOREIGN CARRIERS,8,AIR CANADA,18097,22618,369.0,346.2
FOREIGN CARRIERS,9,AIR CHINA,7901,9535,539.6,327.3
FOREIGN CARRIERS,10,AIR FRANCE,44695,48824,2220.4,2714.3
FOREIGN CARRIERS,11,AIR MANAS,4169,3859,0.2,105.4
FOREIGN CARRIERS,12,AIR MAURITIUS,28537,31504,62.7,699.0
FOREIGN CARRIERS,13,AIR SEYCHELLES,8931,9320,2.0,29.0
FOREIGN CARRIERS,14,ALL NIPPON AIRWAYS,22193,25451,1650.1,1225.1
FOREIGN CARRIERS,15,ARIANA AFGHAN,3366,4982,66.1,192.2
FOREIGN CARRIERS,16,ASIANA AIRLINES,10887,13854,441.4,225.8
FOREIGN CARRIERS,17,AUSTRIAN AIRLINES,0,0,0.0,0.0
FOREIGN CARRIERS,18,BANGKOK AIRWAYS,12288,12901,0.6,116.5
FOREIGN CARRIERS,19,BHUTAN AIRLINES,4999,4730,0.0,0.0
FOREIGN CARRIERS,20,BIMAN BANGLADESH,10453,13270,0.3,66.2
FOREIGN CARRIERS,21,BRITISH AIRWAYS,111641,135186,5335.9,9567.2
FOREIGN CARRIERS,22,BRUSSELS AIRLINES,11657,14590,471.0,757.5
FOREIGN CARRIERS,23,BUDDHA AIR,166,196,0.0,0.0
FOREIGN CARRIERS,24,CARGOLUX AIRLINES INTERNATIONAL S.A.,0,0,174.4,350.5
FOREIGN CARRIERS,25,CATHAY PACIFIC,96826,105927,21584.4,11916.3
FOREIGN CARRIERS,26,CHINA AIRLINES LTD,3498,5942,604.7,643.2
FOREIGN CARRIERS,27,CHINA EASTERN AIRLINES,26172,29615,1026.5,583.0
FOREIGN CARRIERS,28,CHINA SOUTHERN,22835,25497,2817.2,173.0
FOREIGN CARRIERS,29,DRAGON AIR,30871,31622,7.4,27.4
FOREIGN CARRIERS,30,DRUK AIR,15563,14878,0.6,22.4
FOREIGN CARRIERS,31,EGYPT AIR,5027,5982,36.0,103.0
FOREIGN CARRIERS,32,EL-AL-ISRAEL,4762,5497,291.2,167.8
FOREIGN CARRIERS,33,EMIRATES AIRLINE,687035,653347,16155.2,40525.6
FOREIGN CARRIERS,34,ETHIOPIAN AIRLINES,46605,57429,2127.7,3416.6
FOREIGN CARRIERS,35,ETIHAD AIRLINES,391284,372047,3592.3,8708.8
FOREIGN CARRIERS,36,EVA AIRWAYS,0,0,0.0,0.0
FOREIGN CARRIERS,37,FEDERAL EXPRESS,0,0,4120.6,7391.2
FOREIGN CARRIERS,38,FINN AIR,8083,9905,463.3,608.4
FOREIGN CARRIERS,39,FLY DUBAI,64586,63644,46.5,762.8
FOREIGN CARRIERS,40,GARUDA INDONESIA,4087,4154,2.3,73.0
FOREIGN CARRIERS,41,GULF AIR,117248,98420,227.6,2127.5
FOREIGN CARRIERS,42,IRAN AIR,2227,2131,2.2,11.9
FOREIGN CARRIERS,43,IRAQI AIRWAYS,5779,5809,0.0,0.0
FOREIGN CARRIERS,44,ISLAND AVIATION SERVICES,12259,12327,15.7,221.4
FOREIGN CARRIERS,45,JAPAN AIRLINES,9947,12116,1172.0,796.6
FOREIGN CARRIERS,46,KALITTA AIR,0,0,4687.4,3800.4
FOREIGN CARRIERS,47,KAM AIR,10719,13065,0.0,628.4
FOREIGN CARRIERS,48,KENYA AIRWAYS,20445,22754,39.8,29.3
