Category,SL.No.,CITY 1,CITY 2,PASSENGERS TO CITY 2,PASSENGERS FROM CITY 2,FREIGHT TO CITY 2,FREIGHT FROM CITY 2
Indian Territory,1,ABUDHABI,AHMEDABAD,16282,18447,6.7,254.3
Indian Territory,2,ABUDHABI,BENGALURU,33067,37877,148.4,499.3
Indian Territory,3,ABUDHABI,CHENNAI,31243,35378,20.7,253.9
Indian Territory,4,ABUDHABI,DELHI,78062,84616,1417.2,2923.3
Indian Territory,5,ABUDHABI,GOA,0,0,0.0,0.0
Indian Territory,6,ABUDHABI,HYDERABAD,51704,54730,164.0,550.0
Indian Territory,7,ABUDHABI,JAIPUR,3235,3984,11.2,19.9
Indian Territory,8,ABUDHABI,KOCHI,72226,77875,40.5,753.7
Indian Territory,9,ABUDHABI,KOLKATA,9180,10603,6.1,170.4
Indian Territory,10,ABUDHABI,KOZHIKODE,53415,59824,18.0,562.8
Indian Territory,11,ABUDHABI,LUCKNOW,12265,10155,0.8,151.9
Indian Territory,12,ABUDHABI,MANGALORE,19677,21669,7.0,75.8
Indian Territory,13,ABUDHABI,MUMBAI,76016,88178,1851.6,3003.1
Indian Territory,14,ABUDHABI,PUNE,10094,11687,0.0,0.0
Indian Territory,15,ABUDHABI,TRIVANDRUM,33296,36805,4.8,290.2
Indian Territory,16,ADDIS ABABA,DELHI,10143,10240,7.4,191.3
Indian Territory,17,ADDIS ABABA,MUMBAI,18269,22550,334.3,2398.0
Indian Territory,18,ADEN,MUMBAI,2065,2033,0.0,3.2
Indian Territory,19,AL AIN,KOZHIKODE,3863,4601,0.0,0.0
Indian Territory,20,AL AIN,TRIVANDRUM,0,0,0.0,0.0
Indian Territory,21,ALMATY,DELHI,9457,11868,2.7,126.8
Indian Territory,22,ALMATY,GOA,0,0,0.0,0.0
Indian Territory,23,AMSTERDAM,DELHI,42557,42400,2192.6,2710.5
Indian Territory,24,AMSTERDAM,MUMBAI,27642,28559,1919.4,1678.2
Indian Territory,25,ANTALYA,DELHI,0,0,0.0,0.0
Indian Territory,26,ANTALYA,MUMBAI,0,0,0.0,0.0
Indian Territory,27,ASHGABAT,AMRITSAR,6190,6974,4.9,8.8
Indian Territory,28,ASHGABAT,CHENNAI,0,0,0.0,0.0
Indian Territory,29,ASHGABAT,DELHI,3704,3609,0.0,42.6
Indian Territory,30,ASTANA,DELHI,2057,2776,0.3,6.7
Indian Territory,31,BAHRAIN,BENGALURU,0,0,1.8,0.0
Indian Territory,32,BAHRAIN,CHENNAI,15832,17019,12.1,346.2
Indian Territory,33,BAHRAIN,DELHI,29774,28385,106.4,534.5
Indian Territory,34,BAHRAIN,HYDERABAD,14049,13781,5.9,191.0
Indian Territory,35,BAHRAIN,KOCHI,17027,18130,8.5,268.3
Indian Territory,36,BAHRAIN,KOZHIKODE,8503,10160,0.4,104.6
Indian Territory,37,BAHRAIN,MANGALORE,2224,2655,0.0,0.0
Indian Territory,38,BAHRAIN,MUMBAI,29822,35091,39.5,907.0
Indian Territory,39,BAHRAIN,TRIVANDRUM,11946,12833,16.2,151.5
Indian Territory,40,BANGKOK,AHMEDABAD,0,0,0.0,0.0
Indian Territory,41,BANGKOK,AMRITSAR,0,92,0.0,0.0
Indian Territory,42,BANGKOK,BENGALURU,21593,23164,972.7,1322.5
Indian Territory,43,BANGKOK,CHENNAI,18634,21397,1128.9,1506.2
Indian Territory,44,BANGKOK,DELHI,119452,115557,3533.5,954.9
Indian Territory,45,BANGKOK,HYDERABAD,16621,18344,722.6,512.8
Indian Territory,46,BANGKOK,JAIPUR,6339,6391,0.0,0.0
Indian Territory,47,BANGKOK,KOLKATA,67146,66114,811.5,1277.5
Indian Territory,48,BANGKOK,LUCKNOW,5262,4513,0.0,0.0
Indian Territory,49,BANGKOK,MUMBAI,94491,93498,3585.3,2060.0
Indian Territory,50,BASRA,DELHI,5750,5666,0.0,0.0
Indian Territory,51,BIRMINGHAM,AMRITSAR,4609,3911,4.3,0.2
Indian Territory,52,BIRMINGHAM,DELHI,15325,15730,297.5,519.5
Indian Territory,53,BISHKEK,DELHI,4353,5389,5.4,44.0
Indian Territory,54,BRUSELLS,DELHI,0,0,0.0,0.0
Indian Territory,55,BRUSELLS,MUMBAI,11983,13381,480.7,751.1
Indian Territory,56,CAIRO,MUMBAI,4377,5138,15.1,84.3
Indian Territory,57,CHICAGO,DELHI,19392,22982,642.8,463.4
Indian Territory,58,CHICAGO,HYDERABAD,5364,5389,21.4,0.0
Indian Territory,59,CHITTAGONG,KOLKATA,16424,16634,0.0,0.9
Indian Territory,60,COLOGNE,DELHI,0,0,0.0,0.0
Indian Territory,61,COLOGNE,MUMBAI,0,0,0.0,1249.8
Indian Territory,62,COLOMBO,BENGALURU,25272,26811,817.9,1074.5
Indian Territory,63,COLOMBO,CHENNAI,95073,107951,1952.3,2556.1
Indian Territory,64,COLOMBO,COIMBATORE,5401,5042,0.6,82.0
Indian Territory,65,COLOMBO,DELHI,33488,33275,364.6,317.4
Indian Territory,66,COLOMBO,HYDERABAD,7013,6006,10.6,293.0
Indian Territory,67,COLOMBO,KOCHI,29211,29500,77.2,270.5
Indian Territory,68,COLOMBO,KOLKATA,2973,2648,1.5,51.5
Indian Territory,69,COLOMBO,MADURAI,15737,16163,0.0,0.0
Indian Territory,70,COLOMBO,MUMBAI,37906,40983,466.8,435.0
Indian Territory,71,COLOMBO,TIRUCHIRAPALLY,24788,29306,10.0,413.9
Indian Territory,72,COLOMBO,TRIVANDRUM,18954,13820,18.2,394.5
Indian Territory,73,COLOMBO,VARANASI,2594,1770,0.0,0.1
Indian Territory,74,COLOMBO,VISAKHAPATNAM,4092,3079,0.0,0.0
Indian Territory,75,COPENHAGEN,DELHI,1124,734,7.7,49.5
Indian Territory,76,DAMMAM,BENGALURU,0,0,0.0,0.0
Indian Territory,77,DAMMAM,CHENNAI,0,0,0.0,0.0
Indian Territory,78,DAMMAM,DELHI,37530,32384,325.4,670.2
Indian Territory,79,DAMMAM,HYDERABAD,8682,8474,2.5,34.3
Indian Territory,80,DAMMAM,KOCHI,11729,12493,12.9,238.5
Indian Territory,81,DAMMAM,KOZHIKODE,18312,19113,82.6,186.7
Indian Territory,82,DAMMAM,MANGALORE,5447,5026,2.3,45.7
Indian Territory,83,DAMMAM,MUMBAI,19496,20005,177.7,1132.6
Indian Territory,84,DAMMAM,TRIVANDRUM,12683,13262,13.4,168.2
Indian Territory,85,DHAKA,CHENNAI,2422,2378,13.8,64.0
Indian Territory,86,DHAKA,DELHI,15725,18842,208.9,89.0
Indian Territory,87,DHAKA,KOLKATA,65307,77519,402.7,353.8
Indian Territory,88,DHAKA,MUMBAI,12063,14971,183.8,51.7
Indian Territory,89,DOHA,AHMEDABAD,12920,12547,467.6,1436.4
Indian Territory,90,DOHA,AMRITSAR,13298,13372,4.5,45.6
Indian Territory,91,DOHA,BENGALURU,23162,26645,2265.1,3796.1
Indian Territory,92,DOHA,CHENNAI,29240,33541,4363.5,5309.6
Indian Territory,93,DOHA,DELHI,84256,74822,2303.9,5539.2
Indian Territory,94,DOHA,GOA,10891,12172,1.4,238.9
Indian Territory,95,DOHA,HYDERABAD,16042,15834,785.2,1786.6
Indian Territory,96,DOHA,KOCHI,52207,57426,449.4,2719.4
Indian Territory,97,DOHA,KOLKATA,13092,14700,1074.1,1581.5
Indian Territory,98,DOHA,KOZHIKODE,43526,46553,3.2,875.5
Indian Territory,99,DOHA,MANGALORE,4396,5429,0.0,120.8
Indian Territory,100,DOHA,MUMBAI,70545,69925,4928.1,7398.6
Indian Territory,101,DOHA,NAGPUR,4160,5873,0.9,137.8
Indian Territory,102,DOHA,TRIVANDRUM,23498,24438,3.2,448.4
Indian Territory,103,DON MUEANG,BENGALURU,9906,9559,151.7,117.3
Indian Territory,104,DON MUEANG,CHENNAI,9704,10116,130.0,113.3
Indian Territory,105,DON MUEANG,KOCHI,13073,12642,0.0,0.0
Indian Territory,106,DON MUEANG,KOLKATA,12609,12319,97.2,137.7
Indian Territory,107,DON MUEANG,TIRUCHIRAPALLY,84,299,0.0,0.0
Indian Territory,108,DUBAI,AHMEDABAD,48329,51135,758.0,1771.0
Indian Territory,109,DUBAI,AMRITSAR,28740,27707,4.1,95.2
Indian Territory,110,DUBAI,BENGALURU,95164,106032,4063.5,7234.4
Indian Territory,111,DUBAI,CHANDIGARH,11700,13141,0.0,0.0
Indian Territory,112,DUBAI,CHENNAI,118939,131454,3241.8,5311.9
Indian Territory,113,DUBAI,DELHI,242025,265447,3843.6,12379.2
Indian Territory,114,DUBAI,GOA,3838,3186,0.3,0.0
