Sl. No.,NAME OF THE COUNTRY,ISO3,PASSENGERS TO INDIA,PASSENGERS FROM INDIA,FREIGHT TO INDIA,FREIGHT FROM INDIA
1,AFGHANISTAN,AFG,32611,39322,185.4,1203.5
2,AUSTRALIA,AUS,17987,19549,93.9,248.2
3,AUSTRIA,AUT,5864,7217,216.4,115.7
4,AZERBAIJAN,AZE,0,0,0,0
5,BAHRAIN,BHR,147406,130157,262.9,2453.7
6,BANGLADESH,BGD,119747,118237,595.7,1540
7,BELGIUM,BEL,11657,14590,471,757.5
8,BHUTAN,BTN,16706,17583,0.6,22.4
9,BURMA,MMR,3240,4364,0,30.7
10,CANADA,CAN,26492,36945,410,407.5
11,CHINA,CHN,74023,82057,8589.3,2127.9
12,EGYPT,EGY,5027,5982,36,103
13,ETHIOPIA,ETH,46605,57429,632,3416.6
14,FINLAND,FIN,8083,9905,463.3,608.4
15,FRANCE,FRA,81285,91728,4517.7,4278.7
16,GEORGIA,GEO,0,0,0,0
17,GERMANY,DEU,168347,195461,15055.8,16778.6
18,HONG KONG,HKG,190634,201573,27849.6,13656.5
19,INDONESIA,IDN,4087,4154,2.3,73
20,IRAN,IRN,6377,6763,53.6,305.6
21,IRAQ,IRQ,5779,5809,0,0
22,ISRAEL,ISR,4762,5497,291.2,167.8
23,ITALY,ITA,16997,17841,526.6,571.2
24,JAPAN,JPN,41875,48627,3396,2460.6
25,JORDAN,JOR,0,0,0,0
26,KAZAKHSTAN,KAZ,9721,8845,7.5,170.8
27,KENYA,KEN,20445,22754,39.8,29.3
28,KOREA,KOR,24089,28758,1555.9,794.5
29,KUWAIT,KWT,148123,135260,1932.4,6721.4
30,KYRGYZSTAN,KGZ,4169,3859,0.2,105.4
31,MALAYSIA,MYS,308861,310137,4265.2,5047.8
32,MALDIVES,MDV,28068,28812,1.1,623.2
33,MAURITIUS,MUS,28537,31504,62.7,699
34,NEPAL,NPL,138175,124600,148.8,402.9
35,NETHERLANDS,NLD,61372,69525,4110.2,4488.8
36,OMAN,OMN,465638,382694,1257.2,6168.4
37,PAKISTAN,PAK,947,2654,3.3,20.2
38,QATAR,QAT,383920,362756,16286.8,30804.3
39,REUNION,REU,949,1170,0,6.5
40,RUSSIA,RUS,41910,51759,185.5,1866.9
41,RWANDA,RWA,3390,3447,0,0
42,SAUDI ARABIA,SAU,445800,381530,3234.2,16901.6
43,SEYCHELLES,SYC,8931,9320,2,29
44,SINGAPORE,SGP,536312,543740,15173.1,17648.6
45,SOUTH AFRICA,ZAF,0,0,0,0
46,SPAIN,ESP,6431,7062,56.2,342.2
47,SRI LANKA,LKA,285657,278157,2887.2,5971.6
48,SWITZERLAND,CHE,32471,39718,2568.7,3523.1
49,TAIWAN,TWN,3498,5942,857,203.7
50,TAJIKISTAN,TJK,1639,1302,1.6,47
51,THAILAND,THA,420103,428861,10719.9,6941.8
52,TURKEY,TUR,55818,64815,3454.3,4518.9
53,TURKMENISTAN,TKM,6744,10557,2,102.7
54,UNITED ARAB EMIRATES,ARE,2429557,2287929,24256.9,73158.2
55,UNITED KINGDOM,GBR,282646,336866,13219.1,20929.8
56,UNITED STATES,USA,117562,145869,1621.6,2802.1
57,UZBEKISTAN,UZB,12528,13149,857.4,1561.1
58,VIETNAM,VNM,0,0,0,0
59,YEMEN,YEM,1713,1696,0,9.4
60,TOTAL,TOTAL,7351315,7245837,172417,263967.2
