TABLE 2. AIRLINEWISE MONTHLY INTERNATIONAL TRAFFIC (SCHEDULED) STATISTICS FOR THE QUARTER JUL-SEP 2017 (P),,,,,,,,,,,,,,,
(PASSENGERS IN NUMBER AND FREIGHT IN TONNES),,,,,,,,,,,,,,,
SL.No.,NAME OF THE AIRLINE,JULY,,,,AUGUST,,,,SEPTEMBER,,,,,
,,PASSENGERS TO INDIA,PASSENGERS FROM INDIA,FREIGHT TO INDIA,FREIGHT FROM INDIA,PASSENGERS TO INDIA,PASSENGERS FROM INDIA,FREIGHT TO INDIA,FREIGHT FROM INDIA,PASSENGERS TO INDIA,PASSENGERS FROM INDIA,FREIGHT TO INDIA,FREIGHT FROM INDIA,,
DOMESTIC CARRIERS,,,,,,,,,,,,,,,
1,AIR INDIA,273133,230999,3941.3,5873.1,253486,265990,3736.7,5899.4,228200,264149,4196.7,5844.1,,
2,AIR INDIA EXPRESS,180689,140220,50.3,1104.4,157817,173854,57.9,1201.8,117926,188125,47.9,1019.7,,
3,INDIGO,136527,127258,106.0,1731.1,129154,135926,139.4,1795.4,104040,143697,138.9,1563.8,,
4,JET AIRWAYS,370697,324630,5973.4,8894.5,350889,364276,6025.1,9180.2,287053,354819,5710.3,8607.6,,
5,SPICEJET,83015,77576,71.5,664.1,80111,83021,68.6,689.3,66924,82180,92.9,613.8,,
TOTAL (DOMESTIC CARRIERS),,1044061,900683,10142.5,18267.1,971457,1023067,10027.8,18766.1,804143,1032970,10186.6,17649.0,,
FOREIGN CARRIERS ,,,,,,,,,,,,,,,
1,AEROFLOT,13328,9959,39.8,519.1,11650,13445,22.5,661.9,11509,13328,23.8,667.0,,
2,AEROLOGIC,0,0,3.8,3.6,0,0,3.6,3.9,0,0,3.8,3.6,,
3,AIR ARABIA,78892,70090,95.1,1195.4,72411,77710,99.8,1199.0,59274,77429,103.6,1116.3,,
4,AIR ASIA X,5488,5449,169.6,205.0,4889,4777,198.9,262.5,4792,4889,207.5,258.6,,
5,AIR ASIA BERHAD,37193,37125,57.4,310.5,38010,32725,87.3,361.7,34337,38230,87.1,277.2,,
